CAS,LogBCF,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,qed
50_29_3,4.29,2.474116813,494.0441614,14.0436056,9.585974788,13.36561952,8.876028663,5.453670996,7.343493361,4.077727699,7.319538645,2.734003689,3.89260999,1.880875391,2.888780653,3.792535936,0,0,5.917906046,10.04526663,11.12690298,0,24.26546827,24.26546827,0,58.00469945,351.9146887,0.631578947,0.947368421,1.210526316,0.142857143,-0.11,19,345.419,15386.05708,15.28210125,6.114691574,3.932918957,136.7347127,6.112705341,0.200859013,6.112705341,0.200859013,0.382376543,0.084344127,-1.456687453,-0.084344127,6.4955,85.037,354.491,0,0,0,0,0,2,0,2,0,0,5,0,2,0,0,0,100,0,0,0,3.792535936,0,0,0,0,0,0,82.27016773,35.39237126,10.04526663,5.917906046,2,0,58.00469945,0,0,0,9.710441982,0,69.70310616,0,0,0,0,0,58.00469945,3.792535936,0,0,17.04480903,48.53093655,10.04526663,0,0,0,0,30.10012542,0,0,0,0,0,0,-1.456687453,17.16211759,0.540334122
50_30_6,0.26,3.318913173,276.2420898,8.43072142,5.34344164,6.855299532,5.125897658,2.799712352,3.555641298,1.901811249,2.716211502,1.176627757,1.806568545,0.702130651,1.261242432,5.969305288,4.794537184,0,15.60871812,0,0,12.13273414,6.066367068,0,0,28.30840718,189.9588347,1.272727273,1.727272727,2,0,-0.73,11,186.981,255.6766679,8.367370983,3.113456534,1.642721271,73.35863354,10.4737037,0.477562184,10.4737037,0.338241506,0.045524691,0.338241506,-1.110555556,-0.477562184,2.6916,43.4213,191.013,1,2,0,0,0,1,0,1,1,1,4,0,1,0,0,0,58,5.106527395,0,0,0,0,5.969305288,0,4.794537184,0,0,29.26824685,12.13273414,0,15.60871812,1,9.901064579,29.17118507,0,0,0,0,0,33.80781932,0,0,0,0,0,23.20187978,11.07583268,0,0,10.35798868,18.19910121,10.04526663,0,0,37.3,0,11.11845679,0,0,0,0,0,0,0,22.7704321,0.740184271
50_31_7,0.54,3.428930881,335.6685277,9.300964908,5.644055843,7.911842681,5.53658126,2.905361255,4.039254674,2.023343396,3.215708122,1.257856534,2.377111671,0.723117907,1.412915537,5.969305288,4.794537184,0,20.63135143,0,0,12.13273414,0,0,0,39.90934707,223.9198624,1.166666667,1.666666667,2.083333333,0,-0.44,12,222.434,403.7935467,9.64650519,3.519322271,1.657140002,83.66189977,10.56728395,0.477561533,10.56728395,0.338297782,0.030864198,0.338297782,-1.1875,-0.477561533,3.345,48.4313,225.458,1,2,0,0,0,1,0,1,1,1,5,0,1,0,0,0,64,5.106527395,0,0,0,0,5.969305288,0,4.794537184,0,0,34.80281967,12.13273414,0,20.63135143,1,9.901064579,40.77212496,0,0,0,0,0,32.76408557,0,0,0,0,0,34.80281967,11.07583268,0,0,10.35798868,12.13273414,15.06789994,0,0,37.3,0,16.74478395,0,0,0,0,0,0,0,20.92188272,0.744344417
51_28_5,0.57,3.267052212,375.2874025,10.00807169,6.206684756,6.206684756,6.019744508,3.139151008,3.139151008,2.187236849,2.187236849,1.366512109,1.366512109,0.771622776,0.771622776,26.97090648,20.22863654,0,0,6.066367068,12.13273414,0,0,0,0,5.106527395,184.0120212,1.153846154,1.769230769,2.230769231,0,-2.18,13,180.075,675.8157081,8.912421442,3.052359621,1.695453002,71.53158832,10.21953704,0.502086632,10.21953704,0.317062721,0.426388889,0.317062721,-0.886574074,-0.502086632,1.2086,41.4156,184.107,1,7,0,0,0,1,0,1,5,1,7,0,2,0,0,0,68,5.106527395,0,5.749511833,0,5.687386275,5.687386275,20.22863654,0,0,0,0,6.066367068,6.066367068,15.91298917,1,14.95314949,11.37477255,0,0,0,0,0,38.42773774,0,5.749511833,0,11.37477255,5.749511833,0,14.95314949,0,20.22863654,0,18.19910121,0,0,0,106.51,0,0,0,0,0,0,0,0,0,49,0.548520191
55_38_9,2.52,2.905013649,401.0506573,12.18179828,9.720505855,12.24792621,7.542153861,4.601323777,8.38210725,3.035076505,7.032090108,2.030737715,5.375508648,1.185877754,2.699005605,6.718607232,0,0,0,5.749511833,5.563451492,19.11507856,11.76188495,31.37860759,0,25.37809757,278.020023,1.25,1.875,2.3125,0.4,-0.06,16,263.215,3297.627707,14.00273526,6.031188449,3.468896826,105.7348454,5.552834467,0.424129972,5.552834467,0.379519593,0.682716049,0.379519593,-2.619931461,-0.424129972,3.61302,71.891,278.335,0,3,0,0,0,1,0,1,5,0,6,0,5,0,0,0,90,13.57124149,5.749511833,0,0,0,6.718607232,0,0,0,11.76188495,0,36.94205908,30.92193465,0,1,13.57124149,30.28734827,0,0,0,11.81922068,20.47536427,23.7625527,0,5.749511833,4.523747162,0,5.749511833,18.48049218,20.47536427,20.85435041,6.9237372,5.563451492,23.09458468,0,0,0,27.69,0,6.828654783,0,0,0,0,0,0,15.6800463,13.29685448,0.605654616
56_23_5,0.87,3.023715784,19.11941548,4.5,2.011857892,5.035573676,2,0.755928946,2.267786838,0.428571429,3.857142857,0,0,0,0,3.251717758,0,0,0,0,0,0,0,0,0,46.40375956,151.8754107,0.8,0.8,0.8,1,1.16,5,153.823,3.609640474,6.16,1.741848257,38.29198573,49.95231594,4.826388889,0.265685211,4.826388889,0.265685211,1.611111111,0.066421303,-1.611111111,-0.066421303,2.5529,26.143,153.823,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,32,0,0,0,0,3.251717758,0,0,0,0,0,46.40375956,0,0,0,0,0,46.40375956,0,0,0,3.251717758,0,0,0,0,0,0,0,46.40375956,3.251717758,0,0,0,0,0,0,0,0,0,19.30555556,0,0,0,0,0,0,-1.611111111,0,0.469795536
56_38_2,1.99,2.809298824,440.0861905,13.59601184,10.06753157,11.77845534,8.504149058,5.336107095,7.892145696,3.125060783,6.060100725,1.839178629,4.278519579,1.164012006,3.246981828,11.64191828,10.11431827,0,5.687386275,18.96327576,0,24.26546827,13.8474744,0,0,25.37809757,291.0330302,1.222222222,1.722222222,2.111111111,0.4,-1.01,18,277.153,8015.473437,15.04885815,6.797884586,4.343346753,110.2647111,10.50417415,0.42412073,10.50417415,0.380044537,0.010674551,0.380044537,-2.816594781,-0.42412073,3.2711,71.2614,291.265,0,6,0,0,0,1,0,1,6,0,8,0,7,0,0,0,100,4.523747162,5.749511833,0,0,5.687386275,6.718607232,19.16181259,0,0,0,0,25.98020854,23.93959023,18.13707498,1,18.49455253,24.2128496,0,0,0,13.8474744,13.21376393,34.37978654,0,5.749511833,4.523747162,5.687386275,5.749511833,6.718607232,18.13707498,20.85435041,10.11431827,13.8474744,24.26546827,0,0,0,70.83,0,5.177146059,0,0,0,0,0,0,16.07461939,28.0537901,0.435980905
57_15_8,0.23,4.020391543,66.26466251,7,4.581107015,6.848893853,3.25,2.040553507,3.174446926,2.056776063,4.338008487,0.693719848,2.081159543,0,0,9.393586747,0,0,0,0,0,13.8474744,0,0,0,39.90934707,175.9562479,1.125,1.25,1.25,1,0.83,8,170.402,21.30605883,8.83,2.218961958,2.402430194,63.5381098,8.958333333,0.386005251,8.958333333,0.21770918,1.266203704,0.21770918,-1.590277778,-0.386005251,2.1275,36.5878,177.458,1,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,50,5.106527395,5.601050811,0,3.792535936,0,0,0,0,0,0,34.80281967,13.8474744,0,0,0,5.106527395,34.80281967,0,0,0,23.24106115,0,0,0,0,0,0,0,34.80281967,14.50011414,0,0,13.8474744,0,0,0,0,20.23,0,15.87037037,0,0,0,0,0,0,-1.590277778,10.55324074,0.562180829
57_74_9,4.353333333,2.264384235,458.7940326,13.6712084,8.540223642,14.58765521,8.113931529,5.21417605,8.354834449,4.954289079,9.294475915,4.316900466,9.791961427,3.48364159,7.460477664,19.45878656,0,0,27.27747266,6.420821623,0,0,0,0,0,92.80751912,405.7977716,0.888888889,1.388888889,1.944444444,0.8,2.06,18,403.734,10895.21969,14.97496117,4.074683778,1.28086079,144.7427634,6.618912037,0.166392137,6.618912037,0.166392137,0.183796296,0.12137494,-1.503194444,-0.12137494,5.6828,81.216,409.782,0,0,3,0,3,0,0,0,0,0,8,0,0,2,0,2,102,0,9.748344583,4.333354113,0,0,0,0,0,0,46.40375956,46.40375956,12.33872767,5.917906046,20.81874844,3,0,92.80751912,0,0,11.83581209,31.25669606,0,10.0645727,0,0,0,0,0,92.80751912,24.83587443,0,11.83581209,6.420821623,10.0645727,0,0,0,0,0,51.00593364,0,0,0,0,0,0,-1.503194444,-2.697183642,0.451292438
58_89_9,3.04,2.760252076,103.587975,9.464101615,5.731888453,10.26746213,5.464101615,3.309307341,5.927922024,2.66655843,5.690274214,1.825252513,5.856709921,1.05381003,3.381373049,32.26252721,0,0,0,0,0,0,0,0,0,69.60563934,287.8600663,0.333333333,0.416666667,0.5,1,1.74,12,284.784,416.3143648,11.8127802,4.506208943,2.043899675,101.3777278,5.88117284,0.119663787,5.88117284,0.069266909,0.436728395,0.069266909,-0.436728395,-0.119663787,3.6444,57.846,290.832,0,0,1,0,1,0,0,0,0,0,6,0,0,1,0,1,72,0,0,0,0,0,0,0,0,0,69.60563934,0,0,0,32.26252721,1,0,69.60563934,0,0,0,32.26252721,0,0,0,0,0,0,0,69.60563934,32.26252721,0,0,0,0,0,0,0,0,0,35.28703704,0,0,0,0,0,0,0,-2.62037037,0.597603942
59_50_7,0.93,3.17167803,220.1561776,6.853371151,5.057228876,5.813157822,4.198377303,2.650622906,3.028587379,1.93348679,2.340686916,1.141527288,1.565606627,0.628870893,0.746419444,0,0,0,5.749511833,5.022633314,5.563451492,0,18.19910121,6.9237372,0,16.70746729,142.0185425,1.444444444,2.111111111,2.555555556,0.142857143,-0.69,9,135.529,104.2009193,6.430336943,2.275364016,1.360160985,58.89384521,8.878858025,0.507954758,8.878858025,0.115444834,0.261018519,0.115444834,0.261018519,-0.507954758,2.35402,37.8538,142.585,1,1,0,0,0,1,0,1,1,1,2,0,0,0,0,0,48,5.106527395,5.749511833,0,0,0,0,0,0,0,0,11.60093989,30.6862899,5.022633314,0,1,5.106527395,11.60093989,0,0,0,6.9237372,0,28.78518601,0,5.749511833,0,0,5.749511833,11.60093989,5.106527395,0,6.9237372,5.563451492,18.19910121,5.022633314,0,0,20.23,0,5.669537037,0,0,0,0,0,0,0,17.44157407,0.589767459
60_29_7,0.73,2.190609687,11.11941548,4.121320344,3.822461853,3.822461853,2.414213562,1.991563832,1.991563832,0.781474414,0.781474414,0.40824829,0.40824829,0.204124145,0.204124145,0,0,0,0,0,13.21376393,0,0,13.8474744,0,4.736862954,74.07316494,1.2,1.6,1.6,1,-0.04,5,64.043,11.2451125,4.96,3.96,3.96,32.9476226,4.833333333,0.382025836,4.833333333,0.043708413,0.84375,0.043708413,0.84375,-0.382025836,1.0428,22.167,74.123,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,32,4.736862954,0,0,0,0,0,0,0,0,0,0,13.8474744,13.21376393,0,0,4.736862954,0,0,0,0,13.8474744,13.21376393,0,0,0,0,0,0,0,13.21376393,4.736862954,0,13.8474744,0,0,0,0,9.23,0,0,0,0,0,0,0,0,0,10.5,0.475268149
60_51_5,0.2,3.892500637,191.1323538,9.612884175,7.195561829,9.722982182,5.575827365,3.143145995,7.371979981,1.758975315,8.282878706,1.079810318,6.75527273,0.389797755,3.102295145,5.693537601,4.794537184,0,11.66003334,0,0,25.60131988,7.047671983,0,5.316788604,20.85435041,228.9996219,1.583333333,2.083333333,2.416666667,0.8,0.39,12,217.167,366.6865882,12.39,5.937904812,4.424102132,81.30244672,10.81875756,0.358446991,10.81875756,0.246795561,0.08025463,0.246795561,-2.259035494,-0.358446991,0.9829,54.8277,229.263,1,4,0,0,0,0,0,0,5,1,7,0,5,0,0,0,72,14.36428293,0,0,11.60071733,0,0,4.794537184,0,0,0,11.3817248,11.80685609,21.26726707,5.752853607,0,13.84203151,34.78929821,0,5.316788604,0,0,27.02012067,0,0,0,5.316788604,0,0,17.0752624,32.9273004,25.6488876,0,0,0,0,0,0,47.56,0,6.246235828,0,0,0,0,0,0,9.937057823,15.78892857,0.712117042
61_82_5,0.49,3.049648321,109.1085055,4.405777394,3.049127729,3.049127729,2.89384685,1.506369552,1.506369552,0.857300623,0.857300623,0.43365482,0.43365482,0.218873167,0.218873167,0,0,0,5.948339281,0,0,6.327320075,0,0,15.18134214,5.733667477,84.04359613,1.833333333,2.666666667,2.833333333,0,-1.06,6,80.05,33.54887502,3.14242915,0.96520151,0.313601333,34.38820377,5.024305556,0.366513217,5.024305556,0.238663627,0.287037037,0.238663627,0.287037037,-0.366513217,-0.6131,20.7951,84.082,3,4,0,0,0,0,1,1,3,2,4,0,0,0,0,0,32,5.733667477,6.327320075,0,5.948339281,0,0,5.098681808,4.983978521,0,5.098681808,0,0,0,0,1,0,5.948339281,0,15.18134214,0,0,5.733667477,6.327320075,0,0,5.733667477,5.948339281,0,0,15.18134214,0,0,0,6.327320075,0,0,0,67.59,0,0,0,0,0,0,0,0,0,16.16666667,0.440165582
