CASRN,EndPt,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
50_00_0,RB,8.0,2.0,8.0,2.0,0.36062445834190227,30.026,28.009999999999998,30.010564684,12,0,0.10638225365854179,-0.3070970261864102,0.3070970261864102,0.10638225365854179,1.5,1.5,1.5,2.0,2.0,2.0,1.1153550716504106,1.1153550716504106,1.0,0.2886751345948129,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,2.0,1.6699999999999997,0.6700000000000002,-5.360303030303031,12.900773127873316,4.794537184071822,6.78907609989417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,6.78907609989417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78907609989417,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78907609989417,0.0,4.794537184071822,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.1849,7.121,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75_07_0,RB,8.805555555555555,0.75,8.805555555555555,0.75,0.35500761339323206,44.053,40.021,44.026214748,18,0,0.1164052831422626,-0.30371526986366926,0.30371526986366926,0.1164052831422626,2.0,2.0,2.0,2.1874960973678963,10.264662506490405,2.7071067811865475,1.9855985596534889,1.9855985596534889,1.4142135623730951,0.8130525295851417,0.8130525295851417,0.2357022603955159,0.2357022603955159,0.0,0.0,0.0,0.0,-0.33,2.7548875021634682,2.67,1.6699999999999997,1.6700000000000006,19.265715242269923,4.794537184071822,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523129555,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0,6.286160523129555,6.923737199690624,0.0,0.0,0.0,4.794537184071822,0.0,0.0,8.805555555555555,0.0,0.0,0.0,0.0,0.75,1.4444444444444444,0.0,0.5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.2052,11.738000000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302_01_2,NRB,4.0,4.0,4.0,4.0,0.2606589485634476,32.046,28.014,32.037448128,14,0,-0.27413882810857587,-0.27413882810857587,0.27413882810857587,0.27413882810857587,1.0,1.0,1.0,1.0,0.0,2.0,1.1547005383792517,1.1547005383792517,1.0,0.3333333333333334,0.3333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,2.0,1.9199999999999995,0.9200000000000015,-14.580000000000016,13.024226327693349,0.0,0.0,0.0,0.0,0.0,0.0,11.685340540532478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.685340540532478,0.0,0.0,0.0,0.0,0.0,11.685340540532478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.685340540532478,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2,4,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,-1.1812,8.3748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60_34_4,NRB,4.597222222222222,1.6527777777777777,4.597222222222222,1.6527777777777777,0.27331503611697344,46.073,40.025,46.05309819199999,20,0,-0.0017246824386040296,-0.2717217592299514,0.2717217592299514,0.0017246824386040296,2.0,2.0,2.0,1.6329931618554523,2.7548875021634682,2.7071067811865475,2.0773502691896257,2.0773502691896257,1.4142135623730951,0.7886751345948129,0.7886751345948129,0.2886751345948129,0.2886751345948129,0.0,0.0,0.0,0.0,-0.08,2.7548875021634682,2.92,1.9199999999999995,1.9200000000000033,19.599139928685283,0.0,0.0,0.0,0.0,0.0,0.0,11.268461667376624,0.0,0.0,0.0,0.0,7.04767198267719,0.0,0.0,0.0,0.0,0.0,5.425791397110385,5.842670270266239,0.0,7.04767198267719,0.0,0.0,0.0,11.268461667376624,0.0,0.0,0.0,7.04767198267719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04767198267719,0.0,11.268461667376624,0.0,0.0,0.0,0.0,0.0,2.25,4.597222222222222,0.0,0.0,0.0,1.6527777777777777,1.0,3,3,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,-0.9205000000000001,13.247100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79_19_6,NRB,4.787037037037037,0.11574074074074092,4.787037037037037,0.11574074074074092,0.19671659371488406,91.13900000000001,86.099,91.02041815999999,30,0,0.1774536569161026,-0.3752678859519979,0.3752678859519979,0.1774536569161026,1.8,2.0,2.0,2.847378923087672,42.1577218810798,4.284457050376173,2.5629488288431146,3.3794454097708404,2.270055610029662,1.0314744144215573,1.4397227048854202,0.5085883374085366,0.9484147430359839,0.14225889843221234,0.26011002862997024,0.0,0.0,-0.35,9.65148445440323,4.650000000000001,1.923972602739727,3.6500000000000026,35.29781087290288,11.15945887427257,0.0,5.112436884724758,0.0,0.0,0.0,0.0,5.842670270266239,0.0,0.0,0.0,12.217873443046695,0.0,0.0,0.0,17.330310327771453,0.0,5.425791397110385,11.576337747428424,0.0,0.0,0.0,0.0,0.0,17.00212914453881,0.0,0.0,12.217873443046695,5.112436884724758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.07,0.0,0.0,0.0,5.112436884724758,0.0,0.0,0.0,0.0,5.425791397110385,18.060543713312935,5.733667477162185,0.0,4.238425925925926,0.0,0.11574074074074092,6.824074074074074,4.655092592592593,0.0,0.0,0.0,0.0,0.0,5,5,3,0,0,0,0,0,0,2,3,4,0,0,0,0,0,-1.3067000000000002,24.10850000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5329_12_4,NRB,5.723533950617283,0.4074074074074079,5.723533950617283,0.4074074074074079,0.5536073777718645,211.47899999999998,206.439,209.9518312,60,0,0.08614938811247386,-0.3214444963544958,0.3214444963544958,0.08614938811247386,1.0909090909090908,1.5454545454545454,1.9090909090909092,3.2477131903358982,251.52506007307375,8.430721420318147,5.365944226596559,7.633731064651922,5.1470657077414055,2.7603223824879053,3.894215801515587,1.8887725201302978,3.1396085540834937,1.1512170625968987,1.9656173160781103,0.6800915116085311,1.606178087026334,-0.15000000000000008,255.67666789987047,8.94216589861751,3.4984032241608003,1.905018085665638,79.20109070099771,5.425791397110385,0.0,0.0,0.0,0.0,0.0,5.842670270266239,0.0,0.0,0.0,34.802819670697545,12.13273413692322,5.022633313741326,15.732652902166215,0.0,40.49020594538111,0.0,0.0,5.842670270266239,0.0,5.425791397110385,27.2006340781472,0.0,0.0,11.268461667376624,5.687386274683562,0.0,34.802819670697545,0.0,0.0,0.0,0.0,12.13273413692322,15.067899941223978,0.0,0.0,38.05,0.0,0.0,0.0,0.0,20.755286215907542,0.0,0.0,12.13273413692322,0.0,5.425791397110385,40.645489940963785,0.0,17.088779919375156,0.0,1.3000000000000014,2.8522222222222227,5.139584278155707,3.1194135802469134,0.0,0.0,0.0,0.0,11,3,2,0,0,0,1,0,1,2,2,5,1,0,0,0,1,2.9324000000000003,49.28210000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14167_59_0,RB,2.3075427682367353,1.374540863177227,2.3075427682367353,1.374540863177227,0.08685376577555898,478.93400000000054,408.37400000000025,478.54775224,206,0,-0.0533059727891157,-0.06538238322279266,0.06538238322279266,0.0533059727891157,0.14705882352941177,0.23529411764705882,0.3235294117647059,2.9921745004087996,288.0,24.62741699796951,24.62741699796951,24.62741699796951,16.914213562373092,16.914213562373092,16.914213562373092,11.606601717798208,11.606601717798208,7.957106781186547,7.957106781186547,5.44974746830583,5.44974746830583,0.0,26297031.263557073,34.0,33.0,32.0,218.78234080291773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.31376633301366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.31376633301366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.31376633301366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.4662919336324,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.38491446352653,4.615085536473471,0.0,1.0,34,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,13.509399999999973,159.09199999999973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
638_67_5,RB,2.300248466655824,1.3739669421487604,2.300248466655824,1.3739669421487604,0.19567989082850498,324.63700000000006,276.253,324.375601536,140,0,-0.0533059727891157,-0.06538238322279266,0.06538238322279266,0.0533059727891157,0.21739130434782608,0.34782608695652173,0.4782608695652174,2.9219621943934726,164.47733175670794,16.849242404917504,16.849242404917504,16.849242404917504,11.414213562373096,11.414213562373094,11.414213562373094,7.7175144212722016,7.7175144212722016,5.207106781186547,5.207106781186547,3.5052038200428264,3.5052038200428264,0.0,119072.77235845057,23.0,22.0,22.0,148.76797754455498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.68472848082752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.68472848082752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.68472848082752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.83725408144625,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.899503066688354,4.600496933311648,0.0,1.0,23,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,9.218300000000001,108.3050000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
629_94_7,RB,2.298081621956512,1.37375,2.298081621956512,1.37375,0.22251819493515623,296.58299999999997,252.23099999999994,296.344301408,128,0,-0.0533059727891157,-0.06538238322279266,0.06538238322279266,0.0533059727891157,0.23809523809523808,0.38095238095238093,0.5238095238095238,2.901443984538413,143.42124551085624,15.435028842544408,15.435028842544408,15.435028842544408,10.414213562373096,10.414213562373094,10.414213562373094,7.010407640085654,7.010407640085654,4.707106781186547,4.707106781186547,3.1516504294495524,3.1516504294495524,0.0,44319.47665250541,21.0,20.0,20.0,136.03809331576176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.8430852349755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.8430852349755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.8430852349755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.99561083559423,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.903836756086978,4.596163243913024,0.0,1.0,21,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8.438100000000006,99.0710000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
629_97_0,RB,2.299215408804584,1.3738662131519275,2.299215408804584,1.3738662131519275,0.20895316562946994,310.61,264.24199999999996,310.359951472,134,0,-0.0533059727891157,-0.06538238322279266,0.06538238322279266,0.0533059727891157,0.22727272727272727,0.36363636363636365,0.5,2.9121609469850025,152.8771237954945,16.142135623730958,16.142135623730958,16.142135623730958,10.914213562373096,10.914213562373094,10.914213562373094,7.363961030678928,7.363961030678928,4.957106781186547,4.957106781186547,3.3284271247461894,3.3284271247461894,0.0,72672.20796662719,22.0,21.0,20.0,142.40303543015838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.2639068579015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.2639068579015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.2639068579015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.41643245852023,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.40156918239083,4.598430817609168,0.0,1.0,22,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,8.828200000000002,103.6880000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
