,TargetID,TargetName,SMILES,AnalogSeriesID,pKi
1558,CHEMBL264,Histamine H3 receptor,C#CCNC(=O)C1CCN(CC1)Cc2ccc(cc2)OCCCN3CCCCC3,23663,7.96
1559,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C)Oc3cccc(c3)F,9964,6.34
1560,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCC3)Oc4ccc(cc4)F,9964,8.82
1561,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCC3)Oc4ccc(cc4)SC,9964,7.3
1562,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCC3)Oc4ccccn4,9964,8.27
1563,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCC3)Oc4cccnc4,9964,8.22
1564,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCC3)Oc4cccs4,9964,8.43
1565,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCC3)Oc4ccsc4,9964,8.57
1566,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCCC3)Oc4cccc(c4)F,9964,8.66
1567,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)C3CCCCO3)Oc4cccc(c4)F,9964,7.16
1568,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCN(CC2)Cc3ccccc3)Oc4cccc(c4)F,9964,6.82
1569,CHEMBL264,Histamine H3 receptor,CC(=O)N1CC(CC1C(=O)N2CCCNCC2)Oc3cccc(c3)F,9964,5.71
1570,CHEMBL264,Histamine H3 receptor,CC(=O)N1CCC(CC1)Oc2ccc3c(c2)CCC4(O3)CCN(CC4)C5CCC5,19953,8.4
1571,CHEMBL264,Histamine H3 receptor,CC(=O)N1CCN(CC1)CCCOc2ccc3c(c2)CN(CC3c4ccc(cc4)OC)C,8734,6.57
1572,CHEMBL264,Histamine H3 receptor,CC(=O)N1CCN(CC1)Cc2ccc(cc2)c3ccc(cc3)CN4CCCCC4,4112,8.2
1573,CHEMBL264,Histamine H3 receptor,CC(=O)N1CCN(CC1)Cc2ccc(cc2)c3ccc(cc3)CN4CCN(CC4)C(=O)C,4112,5.85
1574,CHEMBL264,Histamine H3 receptor,CC(=O)N1CCc2ccc(cc2C1)OCCCN3CCCCC3,5757,7.71
1575,CHEMBL264,Histamine H3 receptor,CC(=O)N1CCc2ccc(cc2CC1)OCCCN3CCCCC3,23333,7.87
1576,CHEMBL264,Histamine H3 receptor,CC(=O)Nc1cc2c(cn1)nc(s2)N3CCC(CC3)N4CCCCC4,12117,7.28
1577,CHEMBL264,Histamine H3 receptor,CC(=O)Nc1cc2c(nc1)nc(s2)N3CCC(CC3)N4CCCCC4,3995,7.51
1578,CHEMBL264,Histamine H3 receptor,CC(=O)Nc1ccc(cc1)c2cc3c(nc2)nc(o3)N4CCC(CC4)N5CCCCC5,7833,6.63
1579,CHEMBL264,Histamine H3 receptor,CC(=O)Nc1ccc(cn1)c2cc3c(cn2)nc(s3)N4CCC(CC4)N5CCCCC5,12117,7.57
1580,CHEMBL264,Histamine H3 receptor,CC(=O)Nc1ccc(cn1)c2cc3c(nc2)nc(s3)N4CCC(CC4)N5CCCCC5,3995,8.0
1581,CHEMBL264,Histamine H3 receptor,CC(=O)Nc1ccccc1c2cc3c(nc2)nc(o3)N4CCC(CC4)N5CCCCC5,7833,5.82
1582,CHEMBL264,Histamine H3 receptor,CC(=O)c1cccc(c1)c2cc3c(cn2)nc(s3)N4CCC(CC4)N5CCCCC5,12117,7.1
