CAS,SMILES,pEC50,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
112-53-8,OCCCCCCCCCCCC,2.765249329,8.566063511947316,0.3715277777777777,8.566063511947316,0.3715277777777777,0.5129821812363801,186.33899999999997,160.13099999999997,186.198365452,80.0,0.0,0.043052407228889096,-0.39637656934228244,0.39637656934228244,0.043052407228889096,0.6153846153846154,1.0,1.3846153846153846,2.7581498184332935,71.19366193720087,9.778174593052025,9.225388188551982,9.225388188551982,6.414213562373096,6.023334547203385,6.023334547203385,3.9055873130894416,3.9055873130894416,2.511667273601692,2.511667273601692,1.5992402659514469,1.5992402659514469,-0.04,812.7027727261354,12.960000000000003,11.96,11.960000000000003,83.54784803838827,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.71113180602472,6.4208216229260096,6.606881964512918,0.0,5.106527394840706,0.0,0.0,0.0,0.0,71.13195342895074,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.713409359353623,0.0,0.0,71.13195342895074,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,6.606881964512918,6.4208216229260096,57.787394606334104,0.0,0.0,6.923737199690624,5.106527394840706,0.0,0.0,0.0,8.566063511947316,0.0,0.0,0.0,13.303589030117712,2.6303474579349744,0.0,1.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,3.899600000000003,58.92980000000006,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
94-75-7,O=C(O)COc1ccc(cc1Cl)Cl,3.2167183560000003,10.156713102936648,-1.049984567901234,10.156713102936648,0.29976851851851904,0.85199274417323,221.039,214.99099999999999,219.96939941199997,70.0,0.0,0.3412236092634533,-0.48034844459329457,0.48034844459329457,0.3412236092634533,1.4615384615384615,2.1538461538461537,2.6923076923076925,2.7194415184626908,325.16521978178946,9.844934982691242,6.458796711201563,7.970654603238472,6.092224152875015,3.390081958123741,4.146010904142196,2.2571575361304053,3.1007934433429956,1.245073630858628,1.7755402988634048,0.7317541753591862,1.1948025767502604,-0.9299999999999997,705.1739292463237,10.15285004142502,4.34685154672948,3.1253247611664166,84.83712088380017,9.843390348640755,5.749511833283905,6.606881964512918,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,23.20187978046503,18.19910120538483,5.022633313741326,5.022633313741326,14.637927532712578,29.171185068416882,0.0,0.0,0.0,0.0,6.606881964512918,28.244367832867482,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,23.20187978046503,17.682714647305474,4.794537184071822,0.0,0.0,18.19910120538483,10.045266627482652,0.0,0.0,46.53,12.576187252464766,4.794537184071822,0.0,0.0,15.794778460766558,0.0,12.13273413692322,6.06636706846161,0.0,0.0,33.04527012910579,4.863070987654321,11.333927031718035,10.156713102936648,9.105226267461719,0.0,-0.7365895061728385,4.581866024187453,0.0,-0.4153250188964477,0.0,0.125,13.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,2.4568000000000003,49.59280000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57960-19-7,O=C(OC=1C(=O)c2ccccc2(C(=O)C=1CCCCCCCCCCCC))C,7.9938995020000005,12.84418459749618,-0.5730517375286317,12.84418459749618,0.07673689909325798,0.3181397425645799,384.5160000000003,352.26000000000016,384.230059504,152.0,0.0,0.30767225722587205,-0.42205625938680574,0.42205625938680574,0.30767225722587205,0.7857142857142857,1.2857142857142858,1.8214285714285714,1.8777431880794315,729.8756256707065,20.355160383312143,17.220568831665982,17.220568831665982,13.557749310264368,10.658631167129105,10.658631167129105,7.5371338200244065,7.5371338200244065,5.1968421771973405,5.1968421771973405,3.6721035628375898,3.6721035628375898,-2.2299999999999995,1607234.1288651729,22.06326032896341,11.576439026698223,6.148668147709915,167.90303852256065,4.736862953800049,0.0,11.542409818021115,5.783244946364939,0.0,5.969305287951849,14.383611552215466,0.0,0.0,0.0,88.97660007987118,12.841643245852019,23.623744713153883,0.0,19.120474506015512,17.535795180681728,0.0,0.0,0.0,84.47651225156737,0.0,46.724640658965875,0.0,0.0,0.0,0.0,0.0,0.0,17.535795180681728,9.53140013787187,0.0,105.19248960310502,35.597737675571885,0.0,0.0,0.0,60.440000000000005,5.969305287951849,14.383611552215466,0.0,17.325654764386055,23.12082913638927,19.26246486877803,51.8694885601727,24.26546827384644,0.0,6.923737199690624,4.736862953800049,5.155983552528674,0.0,36.99143860873803,0.0,1.0689999169050848,-1.2101095625483904,6.732763476031299,12.446512299321487,3.4810783756904806,0.0,0.5416666666666666,28.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0,12.0,0.0,0.0,0.0,2.0,6.193800000000006,110.35600000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
101007-06-1,N#CC(OC(=O)C1C(C=CC(=O)OC(C(F)(F)F)C(F)(F)F)C1(C)(C))c3cccc(Oc2ccccc2)c3,10.39115974,12.783148396717118,-5.844554498035615,12.783148396717118,0.313657663007064,0.2169529332571273,541.4440000000002,520.2760000000003,541.132392092,202.0,0.0,0.4341562761074162,-0.45737081541460906,0.45737081541460906,0.4341562761074162,0.9473684210526315,1.5526315789473684,2.1315789473684212,1.6537220628965519,1219.1703117415047,28.302754140504835,19.916495923719026,19.916495923719026,17.640232214902998,11.095101493287665,11.095101493287665,9.017720452152364,9.017720452152364,5.923862983546306,5.923862983546306,3.8680422365454623,3.8680422365454623,-4.009999999999998,134597932.10163385,28.559598807238682,10.769359153161872,6.846008546636587,212.95172472903425,14.210588861400147,17.568244979360085,0.0,6.103966387748303,6.103966387748303,24.291207610790646,4.794537184071822,4.794537184071822,31.60438184078741,0.0,50.255329848523175,35.59836478940461,11.639471598530877,5.917906046161393,50.14215351559272,11.938610575903699,5.261891554738487,0.0,17.250802561719567,38.4080042097648,0.0,72.31279532151926,0.0,17.568244979360085,4.736862953800049,26.34249028604892,11.49902366656781,0.0,30.39517399853895,19.06280027574374,28.581915429250326,25.514892278826544,66.74934382982225,0.0,0.0,0.0,85.62,53.74994294800682,41.19345620893105,0.0,0.0,23.138495265098687,6.076020106833881,6.06636706846161,62.37841094707412,6.069221312792274,4.736862953800049,9.473725907600098,90.16087266777808,0.0,24.441610396946167,9.571638746123638,-0.5339679535624207,-3.448176238906254,16.940124934487688,-15.8884560260999,3.173020139899649,0.0,0.34615384615384615,38.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,2.0,6.0,0.0,12.0,8.0,1.0,0.0,1.0,3.0,6.451580000000004,119.29499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348635-87-0,O=S(=O)(c1ncn(n1)S(=O)(=O)N(C)C)n3c2cc(F)ccc2c(c3C)Br,7.100510257000001,13.653784825684173,-4.363338057445199,13.653784825684173,0.08443678088519402,0.5745727053773378,466.31400000000014,453.2100000000002,464.9576362160001,140.0,0.0,0.32343818698316995,-0.2343197802507645,0.32343818698316995,0.2343197802507645,1.1923076923076923,1.8461538461538463,2.4615384615384617,2.255907884655604,1230.938349871644,19.43879310982592,13.750887743059927,16.969877444030082,11.974104874704954,7.039763875619731,10.66978888398461,5.520175416664972,9.993684553095955,3.657303723773958,7.829656441890555,2.345947707134585,5.105655477894171,-1.8299999999999996,555391.8029601015,18.946163145968523,6.110733203555671,2.7443998452780005,156.96084752023265,0.0,12.144540915810436,0.0,0.0,5.156436481820707,20.23262032380525,0.0,13.34679947685914,21.140809959954108,9.185791003891978,0.0,41.052782303024806,29.64821569050005,5.516700717616262,21.226009016332696,47.06548915383566,0.0,22.44739142437253,0.0,12.080173681511331,14.09534396535438,40.51028963187614,0.0,0.0,0.0,4.39041504767482,0.0,15.929943897949348,53.37832935838478,20.23262032380525,12.740958040736519,5.693927994848461,34.15557727780249,0.0,10.902924932081056,0.0,107.15999999999997,31.20627764667185,21.226009016332696,0.0,11.210628712464722,13.94605292588815,20.671309042759496,33.15181530196823,0.0,0.0,26.012604227197592,0.0,66.39314695866102,3.2909358151101475,3.6207071995464855,3.3458756535021434,0.3598226358444616,-0.61794066984002,3.71689194964921,0.7905440995842781,1.5209287210254472,-5.837579029749843,0.23076923076923078,26.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,3.0,8.0,0.0,13.0,4.0,0.0,0.0,0.0,3.0,1.3343200000000004,94.94360000000002,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120162-55-2,O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)c2c(cnn2C)c3nnn(n3)C,3.05034497,12.756174886621313,-4.364533717036195,12.756174886621313,0.02985981273950289,0.49129783168564606,424.4030000000002,408.27500000000015,424.10258461200016,154.0,0.0,0.33506687521053,-0.4807654139941515,0.4807654139941515,0.33506687521053,1.1379310344827587,1.793103448275862,2.3448275862068964,1.853277029080196,1132.4492605421592,21.181433796945203,15.681899045162098,16.498395626089824,13.728713833015734,7.804349709202088,9.287512956796478,5.425394026194878,7.023090077880347,3.4379508788350446,4.885299101508673,2.2566795683942154,3.476954544922707,-3.8200000000000007,2988891.532886182,19.928261528490467,7.66144124245397,4.206130220284031,163.64938089681397,9.473725907600098,0.0,5.025959978669241,23.532720451857166,10.023291153407584,6.031114512338072,9.998591539151516,9.51663204852391,28.280942057023402,10.197363616602075,0.0,5.213385095654868,7.04767198267719,39.09392919700393,22.686060076000857,22.00274494673215,0.0,44.67779158454868,14.09534396535438,5.025959978669241,19.536383686561397,12.263210640074686,0.0,23.147832662567666,19.512609376058517,10.742876465058316,11.759976672870742,0.0,68.62420329931868,24.118635118761965,0.0,0.0,17.289170618743928,0.0,11.387855989696924,0.0,180.92999999999995,16.054405665745655,13.212334168400758,0.0,34.1221319222234,0.0,9.478309157644198,40.57814968798413,0.0,4.722094864452088,35.794176166458726,9.473725907600098,38.36451838227673,0.0,21.18318525960315,17.149872044300672,0.06962924701561102,0.020629232965023725,0.27304453087789615,1.2495203555863728,0.0,1.272934280707881,0.3076923076923077,29.0,2.0,15.0,0.0,0.0,0.0,0.0,3.0,3.0,13.0,2.0,16.0,6.0,0.0,0.0,0.0,3.0,-1.0717999999999994,95.47620000000003,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
82560-54-1,O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(CCC(=O)OCC)C(C)C,7.613408367999999,12.581380263155154,-0.5060269956748129,12.581380263155154,0.1247977251557697,0.4728096512491427,410.53600000000023,380.2960000000002,410.18754305999994,156.0,0.0,0.4257020428527298,-0.4833023287748294,0.4833023287748294,0.4257020428527298,1.3214285714285714,2.0357142857142856,2.6785714285714284,1.9697921241251515,707.8365033465442,20.89697674656903,17.481745135287788,18.298241716215514,13.125029436757053,9.494423999104296,10.224720742444516,7.5194743817742316,8.699513655889994,4.154313131120824,5.362295469086098,2.8446575204646587,3.624716983077232,-1.9299999999999997,1099777.7220671626,22.360071479365914,9.515238799791597,6.035800195802492,171.11197384315741,14.210588861400147,5.601050810983688,11.49902366656781,0.0,0.0,12.062545358890265,4.794537184071822,13.40496916666429,0.0,0.0,12.13273413692322,40.68505306691473,43.75250331573201,13.027703587438928,23.79966322954379,24.196506342261543,0.0,8.610431982592468,0.0,59.10322088443678,20.199310353102682,23.762552697081826,0.0,11.49902366656781,9.473725907600098,4.794537184071822,11.49902366656781,12.133960983371278,52.515179334717054,15.95222176079788,0.0,46.602959113076125,18.19910120538483,0.0,0.0,0.0,68.31,6.093240070938415,9.589074368143644,0.0,24.03301855100951,24.650662036993303,11.984273114623004,16.43917697466751,20.037776250829424,44.13289892698195,0.0,14.210588861400147,19.842899901145543,1.216816250419921,24.19590203277162,0.0,0.718877463294713,0.7953830088731653,5.700677358817968,0.5260400461400503,10.613815448048229,1.639588490488788,0.6,28.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,4.057500000000003,109.32300000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56634-95-8,N#Cc1cc(c(OC(=O)CCCCCC)c(c1)Br)Br,7.098699537000001,11.705621614386494,-0.24795304232804205,11.705621614386494,0.24795304232804205,0.3927804637746238,389.0869999999999,373.9669999999999,386.94695292,102.0,0.0,0.31075542562374125,-0.42409470303919317,0.42409470303919317,0.31075542562374125,1.263157894736842,1.894736842105263,2.4210526315789473,2.621353800793712,471.70471089053694,14.25071237662706,10.709873566758128,13.881866644987538,9.078917360319544,6.179304416614073,7.765300955728778,4.165550453622565,5.874224251971609,2.5777334360347512,3.7558105230968626,1.5829218401165508,2.9312481692610226,-0.8599999999999999,14552.23961876619,16.195126791620726,8.33856213241858,5.333875583847286,129.75368225697193,4.736862953800049,0.0,5.749511833283905,0.0,0.0,5.969305287951849,4.794537184071822,0.0,5.261891554738487,0.0,26.186202068468653,50.413443555747925,6.4208216229260096,20.578111836154097,9.53140013787187,37.82919308385055,5.261891554738487,0.0,0.0,39.02784531432067,0.0,26.641624660285043,0.0,11.818733146076179,4.736862953800049,0.0,5.749511833283905,31.859887795898697,5.969305287951849,4.794537184071822,11.33111286753076,44.59129680601767,21.078173168588048,0.0,0.0,0.0,50.089999999999996,0.0,4.794537184071822,0.0,5.969305287951849,26.679223979571738,25.683286491704038,0.0,12.13273413692322,6.069221312792274,38.78362499558932,9.998754508538536,6.508618958385825,6.603945651760857,11.705621614386494,8.826488156958728,0.5013840504699996,0.18213170298983816,5.295840940776734,4.5810343216148866,2.128267935989971,0.0,0.42857142857142855,19.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,4.959080000000003,80.95100000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1689-99-2,N#Cc1cc(c(OC(=O)CCCCCCC)c(c1)Br)Br,6.961992442000001,11.775162509448224,-0.24295729402872235,11.775162509448224,0.24295729402872235,0.3505532642302796,403.1139999999999,385.97799999999995,400.962602984,108.0,0.0,0.3107554256292334,-0.4240947030391862,0.4240947030391862,0.3107554256292334,1.2,1.8,2.35,2.521601062826903,486.0803568040389,14.957819157813608,11.416980347944676,14.588973426174086,9.578917360319544,6.679304416614073,8.265300955728778,4.519103844215839,6.227777642564883,2.8277334360347512,4.005810523096862,1.7596985354131875,3.1080248645576596,-0.8599999999999999,23890.614210541546,17.192246603970744,9.145014246500496,5.638579293602048,136.11862437136853,4.736862953800049,0.0,5.749511833283905,0.0,0.0,5.969305287951849,4.794537184071822,0.0,5.261891554738487,0.0,32.60702369139466,50.413443555747925,6.4208216229260096,20.578111836154097,9.53140013787187,37.82919308385055,5.261891554738487,0.0,0.0,45.448666937246685,0.0,26.641624660285043,0.0,11.818733146076179,4.736862953800049,0.0,5.749511833283905,31.859887795898697,5.969305287951849,4.794537184071822,11.33111286753076,51.01211842894368,21.078173168588048,0.0,0.0,0.0,50.089999999999996,0.0,4.794537184071822,0.0,5.969305287951849,26.679223979571738,19.26246486877803,12.841643245852019,12.13273413692322,6.069221312792274,38.78362499558932,9.998754508538536,6.539440335031065,6.622626781237441,11.775162509448224,8.846816955144668,0.5028838861044505,0.18996695746199754,5.309615003876472,5.885891062257056,2.1609298427719588,0.0,0.4666666666666667,20.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,5.0,7.0,0.0,0.0,0.0,1.0,5.349180000000003,85.56800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
95465-99-9,O=P(OCC)(SC(C)CC)SC(C)CC,8.557009664,12.45550925925926,-2.5313194444444447,12.45550925925926,0.40179579239103014,0.5665945879088793,270.4,247.21599999999998,270.087708606,92.0,0.0,0.31319339324616247,-0.3138696939147923,0.3138696939147923,0.31319339324616247,1.0666666666666667,1.4666666666666666,1.7333333333333334,4.371665188108624,195.59906920529522,11.897341225498538,10.356227639294305,12.883647992149674,6.9696742155741696,5.582893861592687,10.177186619875858,3.513537701626061,11.539896340044667,2.055131841068098,10.42258282541572,0.833661418785638,10.278577052047156,0.8899999999999999,1305.140459485525,15.889999999999999,8.050730214574305,6.933246109304629,102.25693474209403,4.5237471617118175,0.0,0.0,0.0,0.0,5.772557859961924,4.565048284931329,0.0,0.0,0.0,50.458398390988805,19.765380445542643,10.499876059964349,6.606881964512918,9.088795446643147,28.536007452188244,0.0,0.0,0.0,57.96020530426949,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,28.536007452188244,17.106758024477266,9.088795446643147,0.0,47.46032924430514,0.0,0.0,0.0,0.0,26.3,5.772557859961924,4.565048284931329,0.0,0.0,17.106758024477266,12.841643245852019,22.76344959222632,0.0,6.923737199690624,27.694948798762496,4.5237471617118175,17.911435185185187,3.023148148148148,0.0,0.8035915847820603,0.0,-2.5313194444444447,0.0,2.061104969765684,10.870928445452256,0.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,5.194400000000004,73.92050000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
